surface_m2,nb_pieces,etage,ascenseur,temps_metro,annee_construction,quartier,balcon_terrasse_m2,etat_bien,stationnement,prix_eur
59,3,12,0,1,1992,Part-Dieu,5,neuf,1,449600
24,1,12,0,4,1954,Presqu'île,3,bon,0,170400
26,1,3,0,8,1961,Croix-Rousse,0,à rénover,0,140000
37,2,5,0,3,1925,Part-Dieu,0,bon,0,221200
36,2,11,1,6,1977,Part-Dieu,6,bon,0,237200
48,2,8,1,4,1915,Vieux Lyon,5,bon,0,309900
34,1,11,0,5,1931,Vieux Lyon,10,bon,0,231800
34,2,11,1,4,1990,Part-Dieu,2,neuf,1,253200
35,2,13,1,6,2018,Confluence,8,bon,1,272100
42,2,0,0,7,1960,Croix-Rousse,0,bon,1,271800
21,1,13,1,5,1937,Vieux Lyon,0,à rénover,0,119800
38,2,1,0,6,1934,Vieux Lyon,0,bon,1,232600
40,2,8,1,7,2008,Confluence,7,bon,1,281500
58,3,11,1,4,1959,Presqu'île,6,bon,0,415500
44,2,9,0,7,1958,Croix-Rousse,3,bon,1,300500
20,1,13,0,7,1970,Monplaisir,2,bon,1,140300
44,2,13,0,5,1939,Croix-Rousse,3,bon,0,298600
41,2,1,0,6,1956,Monplaisir,0,bon,1,234800
41,2,10,0,4,2015,Part-Dieu,3,neuf,1,311800
57,2,11,0,5,1953,Presqu'île,1,à rénover,0,342800
35,2,0,0,4,1961,Presqu'île,0,à rénover,0,198200
22,1,5,0,6,1975,Croix-Rousse,5,à rénover,1,149300
39,2,10,1,4,1975,Part-Dieu,5,à rénover,0,219700
29,1,11,1,5,1964,Part-Dieu,7,à rénover,0,170000
36,2,15,1,10,2025,Confluence,9,bon,1,267800
25,1,4,0,4,1947,Presqu'île,0,bon,0,163600
40,1,4,0,1,1967,Presqu'île,0,à rénover,0,243800
79,3,3,0,4,1990,Presqu'île,1,neuf,1,582900
42,2,14,0,7,1920,Vieux Lyon,0,à rénover,0,231000
29,1,14,1,4,2001,Part-Dieu,9,neuf,0,220600
51,2,10,0,6,1931,Croix-Rousse,5,à rénover,0,294500
25,1,3,0,4,1986,Presqu'île,0,bon,0,174200
44,2,6,0,7,2001,Confluence,8,bon,1,301800
107,4,5,0,8,1937,Monplaisir,0,bon,0,595800
33,2,12,0,8,1912,Croix-Rousse,6,à rénover,0,185000
27,1,13,0,7,1982,Croix-Rousse,8,bon,1,207000
42,2,15,0,5,1959,Monplaisir,10,à rénover,0,234800
24,1,8,0,3,1985,Presqu'île,5,neuf,1,207500
41,2,0,0,6,1946,Croix-Rousse,0,à rénover,1,231300
50,2,13,0,4,2010,Monplaisir,12,neuf,1,375800
35,2,7,0,2,1985,Presqu'île,6,bon,0,259100
130,6,2,0,8,2014,Confluence,0,neuf,1,889100
76,4,1,0,4,1967,Part-Dieu,3,bon,0,462200
43,2,10,1,6,1916,Presqu'île,2,à rénover,0,255600
25,1,1,0,1,1996,Presqu'île,2,bon,0,184100
32,2,9,1,7,1972,Monplaisir,7,à rénover,1,192900
18,1,6,1,8,1949,Confluence,4,bon,1,128600
37,2,5,0,5,1970,Confluence,0,neuf,0,243900
76,3,9,0,9,1954,Croix-Rousse,1,à rénover,0,401400
46,2,0,0,6,1967,Part-Dieu,2,bon,1,290800
130,5,9,0,5,1956,Vieux Lyon,5,bon,0,860200
63,3,4,0,2,1935,Presqu'île,3,à rénover,0,377500
53,3,5,0,4,1943,Presqu'île,1,bon,0,355700
70,3,12,0,6,1958,Croix-Rousse,8,à rénover,0,411400
31,1,11,1,6,1909,Vieux Lyon,10,à rénover,0,182100
40,2,10,0,7,1986,Monplaisir,3,à rénover,1,224100
80,4,5,0,4,1989,Part-Dieu,4,neuf,1,558600
53,2,12,0,5,1942,Vieux Lyon,8,à rénover,0,306400
21,1,4,0,8,1927,Croix-Rousse,3,bon,0,130200
36,2,1,0,4,2004,Part-Dieu,0,bon,1,238700
27,1,14,0,4,1900,Vieux Lyon,10,bon,0,188400
35,1,7,0,6,1935,Monplaisir,4,bon,0,201600
81,4,13,1,6,1961,Presqu'île,6,à rénover,0,520700
30,1,11,1,3,2010,Part-Dieu,9,neuf,1,248500
67,3,6,0,5,1988,Croix-Rousse,4,neuf,1,492900
65,3,15,1,7,2025,Confluence,14,neuf,1,513300
34,1,9,0,10,1968,Croix-Rousse,0,neuf,0,236500
18,1,6,0,9,1900,Vieux Lyon,3,à rénover,0,91000
39,2,6,0,4,1995,Presqu'île,9,bon,1,306700
26,1,8,1,4,1973,Presqu'île,6,à rénover,0,168100
55,2,9,1,5,1937,Presqu'île,4,à rénover,0,346600
24,1,4,1,4,1968,Monplaisir,3,à rénover,0,128500
63,3,1,0,4,1950,Presqu'île,0,bon,0,410900
63,3,7,0,4,1921,Part-Dieu,6,à rénover,0,330900
43,2,7,0,3,1975,Part-Dieu,9,à rénover,0,243300
150,7,10,1,6,1946,Part-Dieu,8,à rénover,1,838000
70,3,9,0,3,1968,Presqu'île,0,bon,0,503800
35,2,14,1,8,2015,Monplaisir,11,bon,1,257500
67,3,6,0,7,1948,Vieux Lyon,10,bon,0,423300
37,2,15,1,9,1958,Monplaisir,4,à rénover,0,196200
69,3,7,1,7,1909,Vieux Lyon,0,à rénover,0,360100
39,2,2,0,7,1927,Vieux Lyon,0,à rénover,0,198500
84,4,2,0,7,1959,Confluence,1,bon,0,500800
26,1,1,0,6,1978,Presqu'île,4,bon,0,179000
20,1,6,0,8,1967,Croix-Rousse,0,neuf,0,136300
18,1,0,0,5,1930,Vieux Lyon,0,bon,0,106700
29,1,9,1,6,1971,Part-Dieu,1,neuf,1,216200
23,1,10,1,10,1956,Croix-Rousse,5,bon,1,168600
26,1,15,1,3,1967,Vieux Lyon,7,bon,0,194400
36,1,1,0,6,1965,Part-Dieu,1,à rénover,1,198500
59,3,5,1,9,1959,Monplaisir,2,bon,0,325100
44,2,1,0,7,1923,Croix-Rousse,4,à rénover,0,228800
37,1,4,0,8,1935,Vieux Lyon,1,bon,0,222900
41,2,10,0,4,1956,Monplaisir,4,bon,1,267700
38,2,9,1,9,1967,Croix-Rousse,5,bon,0,254100
59,3,8,0,4,1988,Presqu'île,11,bon,0,446600
68,3,8,0,9,2011,Confluence,5,neuf,1,497200
145,7,2,1,7,2000,Confluence,5,à rénover,0,770000
54,2,6,0,7,1963,Croix-Rousse,2,bon,0,345200
128,7,2,1,4,1913,Vieux Lyon,2,bon,0,780300
33,2,8,0,4,1948,Vieux Lyon,6,neuf,0,240500
41,2,1,0,5,1925,Vieux Lyon,0,neuf,0,262500
55,3,0,0,6,2007,Monplaisir,2,à rénover,1,297700
50,2,9,1,2,1987,Part-Dieu,10,bon,1,363400
19,1,13,0,7,1955,Croix-Rousse,6,bon,0,132200
69,3,7,0,6,1968,Presqu'île,1,bon,0,472100
27,1,6,0,8,1957,Croix-Rousse,0,bon,1,187700
27,1,12,1,6,1973,Presqu'île,8,bon,0,200500
118,5,5,0,6,1972,Presqu'île,4,bon,0,796400
18,1,0,0,4,2000,Part-Dieu,0,bon,0,111600
18,1,1,0,6,1965,Vieux Lyon,0,bon,0,109500
45,2,5,0,6,1952,Confluence,0,bon,0,277500
18,1,4,0,4,1931,Presqu'île,7,à rénover,0,114700
62,3,6,0,3,1964,Presqu'île,0,bon,0,428900
67,3,1,0,4,1987,Presqu'île,6,à rénover,1,430600
164,7,13,1,2,1951,Presqu'île,6,à rénover,0,1026900
35,2,3,0,8,1938,Vieux Lyon,0,neuf,0,217600
47,2,12,0,5,2025,Confluence,5,à rénover,1,304600
38,2,9,1,7,1938,Monplaisir,4,bon,0,234400
65,3,13,1,9,1938,Croix-Rousse,5,bon,0,419300
41,2,9,0,6,1997,Croix-Rousse,4,bon,1,301100
83,4,7,0,6,2025,Part-Dieu,6,bon,1,569300
111,6,3,0,5,1906,Vieux Lyon,1,à rénover,0,557200
21,1,7,0,7,1995,Part-Dieu,4,bon,1,153700
56,2,4,1,5,1914,Croix-Rousse,3,bon,0,353900
66,3,15,1,6,2003,Confluence,10,bon,1,481300
31,2,0,0,1,2016,Presqu'île,4,neuf,1,250000
63,3,9,0,5,1930,Vieux Lyon,0,à rénover,0,341100
100,4,15,0,5,2015,Part-Dieu,4,neuf,1,752000
86,4,11,0,11,1982,Croix-Rousse,0,bon,1,568300
60,3,1,0,3,1981,Part-Dieu,1,neuf,0,408700
70,4,6,0,4,2025,Part-Dieu,7,neuf,1,519800
33,2,10,0,6,1912,Vieux Lyon,3,bon,0,206800
34,2,14,0,5,1922,Vieux Lyon,5,bon,0,218700
75,4,15,1,5,1962,Vieux Lyon,2,à rénover,0,457500
56,3,13,0,7,2025,Confluence,15,bon,1,416700
78,3,8,0,3,1939,Vieux Lyon,5,bon,0,499500
38,2,5,1,8,1947,Croix-Rousse,5,à rénover,0,210900
102,5,3,0,5,1973,Presqu'île,0,bon,0,698700
37,2,6,1,10,1963,Monplaisir,0,bon,0,209600
36,2,9,0,8,1997,Confluence,6,bon,1,258900
167,7,13,0,5,1943,Presqu'île,3,à rénover,0,1000200
28,1,15,1,7,2013,Monplaisir,4,neuf,1,219200
28,1,9,0,4,1982,Part-Dieu,9,bon,0,197300
21,1,8,0,6,1985,Presqu'île,6,neuf,0,166700
33,2,15,0,5,1967,Part-Dieu,5,à rénover,0,192800
60,3,2,0,8,2015,Confluence,3,neuf,1,425600
46,2,9,0,7,1945,Croix-Rousse,1,bon,1,307700
50,2,13,0,9,1938,Confluence,4,bon,0,310900
27,1,1,0,7,1975,Croix-Rousse,0,bon,1,184900
55,3,8,1,8,1978,Croix-Rousse,0,bon,1,377900
34,2,2,0,10,1903,Croix-Rousse,1,bon,0,195000
28,1,7,1,5,1992,Confluence,0,bon,1,196600
41,2,11,0,2,1950,Presqu'île,3,bon,0,290300
33,1,14,1,8,1954,Monplaisir,4,à rénover,1,189700
105,5,5,0,5,1944,Part-Dieu,3,bon,0,610000
44,2,5,1,9,2007,Monplaisir,9,bon,0,281400
25,1,7,0,7,2006,Part-Dieu,2,bon,1,174200
82,4,9,1,6,1965,Vieux Lyon,6,à rénover,1,483900
53,2,14,1,3,1978,Part-Dieu,6,bon,0,365600
47,2,2,0,5,1973,Presqu'île,0,bon,1,332400
26,1,2,0,9,2003,Monplaisir,0,bon,1,168400
68,3,7,0,4,1979,Part-Dieu,3,à rénover,0,372700
19,1,5,0,4,2003,Presqu'île,7,bon,0,149000
24,1,0,0,8,1920,Croix-Rousse,0,à rénover,0,118500
74,3,8,0,6,1943,Part-Dieu,1,bon,0,453800
50,2,6,0,2,2018,Part-Dieu,6,bon,1,356800
81,4,15,0,5,1967,Part-Dieu,5,à rénover,0,458500
39,1,6,1,5,1938,Vieux Lyon,6,à rénover,0,224300
54,2,2,0,6,1983,Presqu'île,2,bon,0,360800
95,4,9,0,5,2004,Part-Dieu,0,bon,1,645000
52,2,2,0,8,1988,Monplaisir,0,neuf,1,343900
24,1,3,0,8,1972,Croix-Rousse,1,à rénover,1,151500
79,3,6,0,3,1900,Vieux Lyon,0,bon,0,480000
107,5,6,1,5,1947,Vieux Lyon,3,bon,0,684200
48,2,3,0,8,1959,Monplaisir,0,bon,0,269600
48,2,3,0,7,1955,Croix-Rousse,4,bon,1,316800
23,1,0,1,8,1957,Croix-Rousse,1,bon,1,161200
74,3,1,0,6,1883,Croix-Rousse,4,neuf,0,467500
24,1,6,0,8,2007,Confluence,3,bon,1,162900
19,1,7,1,8,2025,Confluence,0,bon,1,143300
53,2,5,0,7,1984,Monplaisir,4,à rénover,1,286700
61,3,13,1,7,1997,Croix-Rousse,9,neuf,0,467100
27,1,1,0,7,1999,Confluence,4,à rénover,1,159300
47,2,14,0,5,1938,Part-Dieu,3,bon,0,299100
23,1,9,1,6,2025,Part-Dieu,7,neuf,1,189300
78,4,12,0,10,1996,Confluence,9,bon,0,516500
29,1,10,0,6,1971,Part-Dieu,3,bon,0,184500
96,4,4,0,6,1977,Part-Dieu,1,à rénover,1,531700
19,1,4,0,5,1991,Presqu'île,5,bon,0,137200
40,2,6,0,4,1970,Part-Dieu,0,à rénover,0,213700
44,2,8,0,6,1962,Presqu'île,2,à rénover,0,268300
39,2,9,1,5,1973,Monplaisir,2,neuf,0,258400
69,3,15,1,6,1988,Croix-Rousse,7,bon,0,496200
24,1,2,0,7,2005,Monplaisir,0,bon,1,155400
48,2,0,0,6,1989,Part-Dieu,5,neuf,1,334500
48,2,7,1,9,1913,Vieux Lyon,2,à rénover,0,240400
47,2,1,0,10,2025,Confluence,12,neuf,1,347300
44,2,15,1,5,2019,Part-Dieu,8,bon,0,313000
36,2,11,0,6,2025,Confluence,9,neuf,1,280000
49,2,4,0,8,1915,Croix-Rousse,2,bon,0,290500
55,3,4,0,7,1951,Vieux Lyon,0,bon,0,334400
37,2,2,0,8,2019,Part-Dieu,5,bon,1,254800
58,3,15,1,7,1981,Vieux Lyon,10,bon,1,426400
18,1,11,1,10,2004,Confluence,7,bon,1,140700
162,6,1,0,9,1979,Monplaisir,0,bon,0,882400
48,2,7,0,2,1995,Presqu'île,11,bon,0,363700
32,1,1,0,4,1953,Part-Dieu,2,à rénover,0,165400
69,3,12,0,11,1944,Monplaisir,3,à rénover,0,332400
30,1,9,0,6,1992,Monplaisir,3,bon,1,209000
64,3,10,1,7,2020,Monplaisir,7,bon,1,440000
80,3,11,0,7,1984,Monplaisir,7,bon,0,500300
68,3,1,0,3,2000,Part-Dieu,6,bon,1,451000
32,2,13,0,5,1970,Part-Dieu,6,à rénover,1,200200
75,3,9,0,7,1962,Croix-Rousse,2,à rénover,0,428800
91,4,4,0,6,1968,Presqu'île,2,bon,1,628600
54,3,3,0,3,1947,Presqu'île,1,bon,0,369700
24,1,14,0,7,2024,Confluence,13,neuf,1,207700
46,2,1,0,6,1944,Part-Dieu,3,bon,0,256900
27,2,5,0,5,1980,Part-Dieu,3,neuf,0,185100
39,2,15,1,7,2011,Monplaisir,11,neuf,1,305100
24,1,3,0,5,1973,Monplaisir,0,bon,0,141300
36,2,15,0,9,2025,Confluence,13,bon,1,284100
20,1,7,0,4,1948,Part-Dieu,8,bon,1,147700
18,1,2,0,6,1975,Vieux Lyon,3,à rénover,1,116700
72,3,6,1,4,1929,Presqu'île,4,à rénover,0,432900
21,1,9,1,8,1959,Croix-Rousse,1,neuf,1,164200
65,3,0,0,7,1968,Croix-Rousse,3,bon,1,423700
54,3,6,0,3,1935,Vieux Lyon,6,bon,0,353200
81,4,15,1,5,1950,Monplaisir,10,bon,0,518900
43,2,1,0,4,1973,Croix-Rousse,0,bon,1,282800
95,5,2,0,6,1963,Monplaisir,0,bon,0,532900
74,3,3,0,10,1967,Croix-Rousse,4,à rénover,0,390400
50,2,11,0,7,1924,Croix-Rousse,0,à rénover,0,274300
43,2,1,0,4,2015,Part-Dieu,3,neuf,1,315700
70,3,15,1,9,1985,Croix-Rousse,6,bon,1,494900
64,3,8,1,7,1937,Vieux Lyon,5,bon,0,398800
19,1,12,0,3,1974,Presqu'île,3,neuf,0,150900
54,2,12,1,1,1961,Presqu'île,7,bon,0,410300
53,3,14,1,10,1940,Croix-Rousse,10,bon,0,353500
28,1,0,0,6,2000,Part-Dieu,2,bon,1,186300
70,3,0,0,7,2003,Confluence,1,bon,0,430300
57,3,5,0,4,1982,Part-Dieu,2,à rénover,1,326700
127,6,1,0,5,1940,Part-Dieu,0,bon,0,719300
27,1,9,1,6,1934,Vieux Lyon,4,à rénover,0,152000
43,2,14,1,6,1921,Vieux Lyon,8,à rénover,0,251400
36,2,13,0,8,1960,Croix-Rousse,9,à rénover,0,219500
58,3,2,0,6,1982,Monplaisir,2,bon,1,357000
83,4,5,0,7,2025,Confluence,8,bon,1,573000
27,1,1,1,2,1952,Presqu'île,0,bon,0,186000
27,1,8,0,7,1952,Croix-Rousse,0,à rénover,0,148700
45,2,3,1,8,1933,Croix-Rousse,5,bon,0,275600
56,3,6,0,5,1961,Monplaisir,4,bon,0,337100
46,2,8,0,7,1939,Vieux Lyon,1,bon,0,286500
61,3,11,0,6,1924,Presqu'île,2,bon,0,413200
34,1,12,1,6,1962,Part-Dieu,4,neuf,1,255100
20,1,1,0,5,1920,Presqu'île,1,à rénover,0,111100
27,1,9,0,5,1991,Monplaisir,15,bon,0,195700
55,3,10,1,5,2003,Confluence,5,bon,1,391400
32,2,10,0,5,1920,Vieux Lyon,3,bon,0,208500
34,2,5,1,8,2019,Confluence,11,à rénover,1,214600
50,3,10,1,8,1930,Monplaisir,5,neuf,0,318900
55,2,10,1,5,1980,Part-Dieu,5,bon,1,380500
106,5,5,0,8,1991,Monplaisir,3,bon,1,634200
68,3,15,0,7,1983,Part-Dieu,5,neuf,1,488300
37,2,4,0,6,1922,Vieux Lyon,1,bon,0,225300
64,3,13,1,4,1993,Monplaisir,6,bon,1,447600
18,1,11,1,8,1984,Part-Dieu,7,bon,0,125800
125,5,2,0,6,1925,Monplaisir,0,bon,0,662900
